SCIACOVELLI SINDACO - CI PIACE!,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,BARI CITTÀ D'EUROPA,MOVIMENTO CINQUE STELLE,GENERAZIONE URBANA,BARI BENE COMUNE,PCI - PARTITO COMUNISTA ITALIANO,LAFORGIA SINDACO,NOI POPOLARI,PROGETTO BARI CON LECCESE,PARTITO DEMOCRATICO,LECCESE SINDACO,CON LECCESE SINDACO,DECARO PER BARI,EUROPA VERDE - VERDI,BARI X FABIO ROMITO,AGORÀ,MARIO CONCA PER BARI,NOI MODERATI - RIPRENDIAMOCI IL FUTURO,LIBERALI E RIFORMISTI - nPSI,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,FRATELLI D'ITALIA,FORZA ITALIA,ROMITO SINDACO,PENSIONATI E INVALIDI,OLTRE MANGANO SINDACO,TOT_SEZIONE,COALIZIONE ROMITO,COALIZIONE LECCESE,COALIZIONE LAFORGIA,SEZIONE
1,3,11,26,8,26,4,43,12,29,129,38,29,28,20,18,2,0,1,2,7,71,13,32,2,3,558,148,285,118,325
0,1,13,15,3,19,0,23,14,13,75,21,18,49,4,4,0,1,0,4,2,30,10,22,0,1,342,73,194,73,326
1,0,23,26,4,20,3,23,4,16,93,25,13,39,9,7,3,0,1,0,11,30,18,30,1,0,400,101,199,99,327
3,0,5,19,0,5,0,6,0,2,31,12,16,26,0,5,1,1,6,4,12,18,3,24,1,0,200,75,87,35,328
3,1,17,39,0,46,2,42,7,22,119,28,25,59,8,5,0,7,2,2,9,41,19,22,3,1,529,110,268,146,329
0,0,12,13,8,21,1,28,8,16,80,24,43,43,9,15,0,1,0,6,14,47,13,35,0,4,441,131,223,83,330
0,0,23,51,4,23,2,21,13,12,83,51,53,39,3,6,2,1,2,3,43,74,14,63,1,1,588,209,254,124,331
0,1,27,25,2,25,2,28,13,22,117,30,37,61,13,16,0,0,2,2,13,44,8,43,0,3,534,128,293,109,332
2,0,16,21,1,19,5,30,21,17,82,18,23,43,8,6,0,3,1,1,10,58,11,24,0,1,421,114,212,92,333
3,2,23,31,3,7,1,15,5,5,99,21,28,64,1,5,3,5,6,13,32,24,17,17,0,3,433,122,223,80,334
2,1,7,48,4,20,0,34,5,7,151,13,48,61,6,14,1,1,2,2,27,103,26,29,0,2,614,205,291,113,335
3,0,4,42,10,8,7,51,17,8,194,16,30,73,1,15,0,1,1,0,30,67,28,19,0,4,629,161,339,122,336
1,4,9,41,2,8,1,32,8,6,155,12,27,55,7,14,0,1,3,7,21,69,22,23,0,0,528,160,270,93,337
